start	end	text
1042265	1045632	That does not look like the ant line that I'm used to seeing, though.
1045653	1046217	I don't remember.
1046197	1050300	Seems like I remember them being a little bigger and having a red mark on their back.
1050280	1054333	It looks like the flying monsters that attack you.
1056322	1061117	The last fact, this may be controversial, but I'm 99%.
1061097	1065640	that it is correct, but is fire ants aren't red.
1065620	1068392	Most people think fire ants are red.
1068412	1071546	Fire ants are black and cause a burning sensation.
1071998	1074388	And so that's why they're called fire ants.
1074408	1075258	What are the red ants?
1076909	1077697	Other ants.
1078363	1078888	Just ants.
1078908	1079615	Other ants.
1079999	1080726	Other kinds of ants.
1080706	1081836	I don't know what they're called.
1082058	1083915	But yeah, I...
1083895	1087375	That made me very mad a couple years ago when I read that.
1087476	1089045	My whole life was a lie.
1089025	1090395	Thank you.
1091152	1094277	I thought they were called fire ants because they were those orange ones.
1094519	1096555	What are those big old red and black?
1097311	1102528	Oh, those unofficially called cow killers?
1102981	1103559	Um,
1103977	1107784	velvet ants, is that what you're talking about?
1107804	1109093	They're female
1109073	1112957	wingless wasps and they can sting.
1113157	1115100	So they're not technically ants.
1115384	1120045	but they're supposed to be terribly painful because they're actually wasps.
1120480	1123926	and their stinger isn't like
1125003	1128027	just on the end, but it's like they shoot it
1128007	1133190	and it's like actually long, so it would probably hurt to be stunned by one of those.
1133170	1136363	That sounds more like what I thought those lion ants were.
1136343	1140295	Maybe we were messing around with something we should have been messing with.
1140275	1146285	The female or the males actually have wings and they fly around and they look like normal
1146265	1149019	Like, yeah, if you see something
1149387	1154200	I think there are blue ones, but I've only ever seen red ones walking around.
1154635	1156107	I don't miss.
1162010	1163920	It wasn't too bad.
1165081	1166631	Okay.
1166652	1168484	10.30 next meeting.
1169672	1170417	Whoever is on.
1171375	1173538	We'll bring everybody else in eventually.
1174261	1175812	We don't want to overwhelm him.
1175993	1177685	Is this a remote employee?
1177826	1178652	Yes.
1179172	1181167	I think he's based out of Texas.
1182456	1184592	That's what his resume always said.
1184723	1186957	Where was the other guy based out of in the other country?
1187259	1188104	New York.
1188124	1188567	New York?
1188587	1189975	Yeah, poor Kyle's from New York.
1190528	1193449	Boren Kyle is from New York, but he's not in another country.
1193470	1194497	He has the opposite of what
1194477	1195765	Our U.S.
1195806	1196389	Kyle does.
1196409	1196691	U.S.
1196711	1197959	Kyle goes to foreign countries.
1197980	1199610	Foreign Kyle comes to the U.S.
1199590	1200600	Yeah.
1200741	1203002	Yeah.
1203185	1205197	Have you heard from Kyle?
1205257	1205659	You heard from Kyle?
1205679	1205760	No.
1206524	1208757	Last I heard, he lives in
1209395	1214460	He lives roughly 100% of his time in Puerto Rico.
1214677	1217937	He was coming back every once in a while because
1218288	1224045	They had a house that they were trying to sell in Florida and then he has parents in
1224802	1226492	That's Carolina, I think.
1231585	1232674	Thanks, guys.
1232694	1234165	Oh, the 28th.
1234206	1235496	I think that's the last Thursday.
1235516	1236786	That's when we're going to have our food day.
1236766	1237972	Oh, nice week.
1237992	1240364	I think we're going to get Ronnie Smack Fire.
1240444	1240886	That's good.
1241228	1242253	Yeah, it was good.
1242790	1244900	Do not object.
1244920	1246990	You know what I had on Saturday?
1247090	1248075	A shrimp boil.
1248055	1251923	It was really good actually.
1252662	1257002	I think the only thing close to a shrimp will...
1256982	1262385	that I enjoyed more maybe, I don't know, it's a close tie, is crawfish.
1262551	1268275	The boil that we had was at a restaurant and you could pick what kind of seafood you wanted in it.
1268255	1273506	You can put clams or... The crab shack.
1274633	1275397	Joe's.
1275595	1276279	Joe's Crab Shack.
1276299	1277203	Joe's Crab Shack?
1277223	1277545	Yeah.
1277806	1281606	The one we went to was a Cajun Crab House, I think it was.
1281586	1281687	you
1292487	1294633	And I'm just going to say,
1306831	1307493	Probably.
